id,name,serving,calories,fat,protein,carb,fiber
1,Ground Beef,453.592,1137,90,76,0,0
2,OM Thick Cut,1,70,5,5,0,0
3,OM Bacon,2,90,8,6,0,0
4,OM Center Cut,2,60,4.5,5,0,0
5,Chicken,71,90,2,16,0,0
6,Salmon,28,58.2,3.8,5.7,0,0
7,Lox,56,70,2.5,12,0,0
8,Eggs,1,70,5,6,0,0
9,Sopresatta,28,120,10,8,0,0
10,Pork Shoulder,100,186,12.4,17.4,0,0
11,Pepper Jack,28,100,9,6,0,0
12,Colby Jack,28,100,8,6,1,0
13,String Cheese,1,80,6,7,0,0
14,Grana Padano,28,110,8,9,0,0
15,Locatelli,28,110,8,7,0,0
16,Cream Cheese,28,100,10,2,1,0
17,Sour Cream,30,60,5,1,1,0
18,Jalapeno Cream Cheese,31,60,5,2,3,0
19,Kerry Gold,14.19,100,12,0,0,0
20,Heavy Cream,14.44,50,6,0,0,0
21,MCT,14.1,130,14,0,0,0
22,Olive Oil,14,130,14,0,0,0
23,Coconut Oil,13.51,130,14,0,0,0
24,Avocado Oil,14,130,14,0,0,0
25,Mayo,15,100,12,0,0,0
26,Bacon Fat,12.9,115.7,12.8,0,0,0
27,Dressing EVOO,15,130,14,0,0,0
28,Macadamia,28,204,21,2.2,3.9,2.4
29,Walnut,100,654,65,15,14,7
30,Pecan,30,220,21,3,4,2
31,Almond Butter,16,98,9,3.4,3,1.6
32,Hemp Seeds,30,180,15,10,1,1
33,Sunflower Seeds,28,164,14.4,5.8,5.6,2.4
34,Chia Seeds,28,138,9,4.7,12,10
35,Avocado,100,167,15.41,1.96,8.64,6.8
36,Tomato,100,15,0.26,0.98,2.98,0.7
37,Cucumber,100,10,0.16,0.59,2.16,0.7
38,Peppers,100,41,0,1,9,4
39,Celery,100,14,0.17,0.69,2.97,1.6
40,Spinach,100,23,0.39,2.86,3.63,2.2
41,Broccoli,100,34,0.37,2.82,6.64,2.6
42,Cauliflower,100,25,0.28,1.92,4.97,2
43,Brussel Sprouts,100,43,0.3,3.38,8.95,3.8
44,Mixed Greens,32,9.1,0.1,0.7,1.7,0.7
45,Blueberries,100,57,0.33,0.74,14.49,2.4
46,Blackberries,100,43,0.49,1.39,9.61,5.3
47,Strawberries,100,32,0.3,0.67,7.68,2
48,Raspberries,100,52,0.65,1.2,11.94,6.5
49,Quest Cookie,1,250,17,15,19,15
50,Quest Mint,1,200,8,20,22,18
51,Pouch Chicken,1,245,5.25,49,0,0
52,Pouch Tuna,1,180,12,18,0,0
53,Creamer,1,10,1,0,0,0
54,Pistachio,28,160,13,6,8,3
55,Roast Beef,56,80,3,13,0,0
56,MH Eggs and Bacon,1,345,21,24,10.5,0
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
